timestamp,frame,target,confidence,image
2021-12-10_09-17-12,3,person,97.87,alerts/2021-12-10_09-17-12_frame3_person.jpg
2021-12-10_09-17-14,4,person,99.95,alerts/2021-12-10_09-17-14_frame4_person.jpg
2021-12-10_09-17-16,5,person,98.99,alerts/2021-12-10_09-17-16_frame5_person.jpg
2021-12-10_09-17-20,7,car,92.96,alerts/2021-12-10_09-17-20_frame7_car.jpg
2021-12-10_09-17-22,8,car,98.67,alerts/2021-12-10_09-17-22_frame8_car.jpg
2021-12-10_09-17-27,10,motorbike,90.92,alerts/2021-12-10_09-17-27_frame10_motorbike.jpg
2021-12-10_09-17-27,10,person,99.39,alerts/2021-12-10_09-17-27_frame10_person.jpg
2021-12-10_09-17-29,11,motorbike,98.88,alerts/2021-12-10_09-17-29_frame11_motorbike.jpg
2021-12-10_09-17-29,11,person,98.61,alerts/2021-12-10_09-17-29_frame11_person.jpg
2021-12-10_09-17-31,12,motorbike,98.77,alerts/2021-12-10_09-17-31_frame12_motorbike.jpg
2021-12-10_09-17-31,12,person,98.26,alerts/2021-12-10_09-17-31_frame12_person.jpg
2021-12-10_09-17-33,13,motorbike,97.48,alerts/2021-12-10_09-17-33_frame13_motorbike.jpg
2021-12-10_09-17-35,14,person,98.59,alerts/2021-12-10_09-17-35_frame14_person.jpg
2021-12-10_09-17-40,16,person,98.95,alerts/2021-12-10_09-17-40_frame16_person.jpg
2021-12-10_09-17-42,17,person,98.86,alerts/2021-12-10_09-17-42_frame17_person.jpg
2021-12-10_09-17-44,18,person,99.26,alerts/2021-12-10_09-17-44_frame18_person.jpg
2021-12-10_09-17-48,20,bus,80.92,alerts/2021-12-10_09-17-48_frame20_bus.jpg
