[2026-06-10_14-47-15] EVENT 1 | CAR | 78.16% | LOW | Action: track_vehicle_and_log_evidence | alerts_v3/images/2026-06-10_14-47-15_event1_car.jpg
[2026-06-10_14-47-26] EVENT 2 | PERSON | 72.30% | MEDIUM | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2026-06-10_14-47-26_event2_person.jpg
[2026-06-10_14-47-34] EVENT 3 | BUS | 98.05% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2026-06-10_14-47-34_event3_bus.jpg
[2026-06-10_14-47-45] EVENT 4 | CAR | 94.84% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2026-06-10_14-47-45_event4_car.jpg
[2026-06-10_14-47-51] EVENT 5 | MOTORBIKE | 61.18% | LOW | Action: track_vehicle_and_log_evidence | alerts_v3/images/2026-06-10_14-47-51_event5_motorbike.jpg
[2026-06-10_14-47-53] EVENT 6 | PERSON | 92.82% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2026-06-10_14-47-53_event6_person.jpg
[2026-06-10_14-48-00] EVENT 7 | MOTORBIKE | 99.61% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2026-06-10_14-48-00_event7_motorbike.jpg
[2026-06-10_14-48-04] EVENT 8 | PERSON | 98.55% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2026-06-10_14-48-04_event8_person.jpg
[2026-06-10_14-48-08] EVENT 9 | BUS | 99.09% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2026-06-10_14-48-08_event9_bus.jpg
[2021-12-10_09-24-29] EVENT 1 | PERSON | 99.88% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-24-29_event1_person.jpg
[2021-12-10_09-24-38] EVENT 2 | PERSON | 99.71% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-24-38_event2_person.jpg
[2021-12-10_09-24-46] EVENT 3 | PERSON | 99.17% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-24-46_event3_person.jpg
[2021-12-10_09-24-55] EVENT 4 | CAR | 61.03% | LOW | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-24-55_event4_car.jpg
[2021-12-10_09-25-03] EVENT 5 | CAR | 99.82% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-25-03_event5_car.jpg
[2021-12-10_09-25-10] EVENT 6 | PERSON | 99.24% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-25-10_event6_person.jpg
[2021-12-10_09-25-18] EVENT 7 | PERSON | 99.86% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-25-18_event7_person.jpg
[2021-12-10_09-25-27] EVENT 8 | PERSON | 90.60% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-25-27_event8_person.jpg
[2021-12-10_09-25-40] EVENT 9 | PERSON | 97.88% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-25-40_event9_person.jpg
[2021-12-10_09-25-51] EVENT 10 | MOTORBIKE | 83.31% | LOW | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-25-51_event10_motorbike.jpg
[2021-12-10_09-25-53] EVENT 11 | PERSON | 99.64% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-25-53_event11_person.jpg
[2021-12-10_09-26-01] EVENT 12 | MOTORBIKE | 97.28% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-26-01_event12_motorbike.jpg
[2021-12-10_09-26-12] EVENT 13 | BUS | 99.89% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-26-12_event13_bus.jpg
[2021-12-10_09-20-04] EVENT 1 | PERSON | 86.20% | MEDIUM | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-20-04_event1_person.jpg
[2021-12-10_09-20-12] EVENT 2 | PERSON | 69.14% | MEDIUM | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-20-12_event2_person.jpg
[2021-12-10_09-20-21] EVENT 3 | PERSON | 93.56% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-20-21_event3_person.jpg
[2021-12-10_09-20-29] EVENT 4 | PERSON | 84.17% | MEDIUM | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-20-29_event4_person.jpg
[2021-12-10_09-20-40] EVENT 5 | CAR | 96.77% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-20-40_event5_car.jpg
[2021-12-10_09-20-48] EVENT 6 | CAR | 99.79% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-20-48_event6_car.jpg
[2021-12-10_09-38-42] EVENT 1 | PERSON | 73.45% | MEDIUM | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-38-42_event1_person.jpg
[2021-12-10_09-38-51] EVENT 2 | PERSON | 93.71% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-38-51_event2_person.jpg
[2021-12-10_09-38-59] EVENT 3 | PERSON | 60.25% | MEDIUM | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-38-59_event3_person.jpg
[2021-12-10_09-39-08] EVENT 4 | PERSON | 99.26% | HIGH | Action: notify_operator_and_continue_monitoring | alerts_v3/images/2021-12-10_09-39-08_event4_person.jpg
[2021-12-10_09-39-18] EVENT 5 | CAR | 65.85% | LOW | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-39-18_event5_car.jpg
[2021-12-10_09-39-28] EVENT 6 | CAR | 95.96% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-39-28_event6_car.jpg
[2021-12-10_09-39-35] EVENT 7 | MOTORBIKE | 60.71% | LOW | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-39-35_event7_motorbike.jpg
[2021-12-10_09-39-43] EVENT 8 | BUS | 92.82% | MEDIUM | Action: track_vehicle_and_log_evidence | alerts_v3/images/2021-12-10_09-39-43_event8_bus.jpg
