timestamp,frame,target,confidence,category,threat_level,recommended_action,image
2026-06-10_14-47-15,16,car,78.16,ground_vehicle,LOW,track_vehicle_and_log_evidence,alerts_v3/images/2026-06-10_14-47-15_event1_car.jpg
2026-06-10_14-47-26,21,person,72.30,suspicious_person,MEDIUM,notify_operator_and_continue_monitoring,alerts_v3/images/2026-06-10_14-47-26_event2_person.jpg
2026-06-10_14-47-34,25,bus,98.05,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2026-06-10_14-47-34_event3_bus.jpg
2026-06-10_14-47-45,30,car,94.84,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2026-06-10_14-47-45_event4_car.jpg
2026-06-10_14-47-51,33,motorbike,61.18,ground_vehicle,LOW,track_vehicle_and_log_evidence,alerts_v3/images/2026-06-10_14-47-51_event5_motorbike.jpg
2026-06-10_14-47-53,34,person,92.82,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2026-06-10_14-47-53_event6_person.jpg
2026-06-10_14-48-00,37,motorbike,99.61,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2026-06-10_14-48-00_event7_motorbike.jpg
2026-06-10_14-48-04,39,person,98.55,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2026-06-10_14-48-04_event8_person.jpg
2026-06-10_14-48-08,41,bus,99.09,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2026-06-10_14-48-08_event9_bus.jpg
2021-12-10_09-24-29,5,person,99.88,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-24-29_event1_person.jpg
2021-12-10_09-24-38,9,person,99.71,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-24-38_event2_person.jpg
2021-12-10_09-24-46,13,person,99.17,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-24-46_event3_person.jpg
2021-12-10_09-24-55,17,car,61.03,ground_vehicle,LOW,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-24-55_event4_car.jpg
2021-12-10_09-25-03,21,car,99.82,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-25-03_event5_car.jpg
2021-12-10_09-25-10,24,person,99.24,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-25-10_event6_person.jpg
2021-12-10_09-25-18,28,person,99.86,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-25-18_event7_person.jpg
2021-12-10_09-25-27,32,person,90.60,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-25-27_event8_person.jpg
2021-12-10_09-25-40,38,person,97.88,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-25-40_event9_person.jpg
2021-12-10_09-25-51,43,motorbike,83.31,ground_vehicle,LOW,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-25-51_event10_motorbike.jpg
2021-12-10_09-25-53,44,person,99.64,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-25-53_event11_person.jpg
2021-12-10_09-26-01,48,motorbike,97.28,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-26-01_event12_motorbike.jpg
2021-12-10_09-26-12,53,bus,99.89,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-26-12_event13_bus.jpg
2021-12-10_09-20-04,3,person,86.20,suspicious_person,MEDIUM,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-20-04_event1_person.jpg
2021-12-10_09-20-12,7,person,69.14,suspicious_person,MEDIUM,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-20-12_event2_person.jpg
2021-12-10_09-20-21,11,person,93.56,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-20-21_event3_person.jpg
2021-12-10_09-20-29,15,person,84.17,suspicious_person,MEDIUM,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-20-29_event4_person.jpg
2021-12-10_09-20-40,20,car,96.77,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-20-40_event5_car.jpg
2021-12-10_09-20-48,24,car,99.79,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-20-48_event6_car.jpg
2021-12-10_09-38-42,2,person,73.45,suspicious_person,MEDIUM,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-38-42_event1_person.jpg
2021-12-10_09-38-51,6,person,93.71,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-38-51_event2_person.jpg
2021-12-10_09-38-59,10,person,60.25,suspicious_person,MEDIUM,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-38-59_event3_person.jpg
2021-12-10_09-39-08,14,person,99.26,suspicious_person,HIGH,notify_operator_and_continue_monitoring,alerts_v3/images/2021-12-10_09-39-08_event4_person.jpg
2021-12-10_09-39-18,19,car,65.85,ground_vehicle,LOW,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-39-18_event5_car.jpg
2021-12-10_09-39-28,24,car,95.96,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-39-28_event6_car.jpg
2021-12-10_09-39-35,27,motorbike,60.71,ground_vehicle,LOW,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-39-35_event7_motorbike.jpg
2021-12-10_09-39-43,31,bus,92.82,ground_vehicle,MEDIUM,track_vehicle_and_log_evidence,alerts_v3/images/2021-12-10_09-39-43_event8_bus.jpg
